,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,01.Feb,02.Mar
321,149602.1314,14607.74332,15479.17768,17040.53041,17307.68286,158516.5243,164337.5494,112385.845,96508.6869,156526.8264,172786.089,65747.16927,72414.8037,73406.0649,148495.2548,147908.1615,170376.9089
325,7712.685611,7321.745849,7240.53008,6950.753012,7180.407523,6533.598422,8235.970529,45452.19962,99218.45655,8217.504589,7524.984884,71691.53635,56185.99431,71651.06242,16922.62589,6731.135884,6818.674475
333,10310.84141,16213.56262,16086.94133,14574.31809,14317.45874,10029.80644,10649.69629,45674.61836,68981.14873,11347.48349,8601.141829,59398.46842,58305.64691,70051.52398,16909.36714,10366.50673,13019.30079
334,9423.041029,622.5969239,1024.900698,871.7969619,1039.881172,7311.472913,9974.843981,38334.41604,47466.75996,12841.40816,11277.46671,41373.83048,37016.99006,52811.11895,14094.39609,9529.5068,11346.12269
335,77358.00367,23899.91356,24125.16827,25535.54325,24168.72989,84631.37662,69982.89709,176860.9616,332147.8753,78980.47769,81130.03605,249648.6089,196955.1575,286942.7284,107156.894,81709.75693,79546.99151
338,32977.03685,4098.240392,3722.083464,4910.639325,3239.996735,33833.80012,38854.63698,22841.74899,22086.5655,34478.25113,38907.91815,13585.58238,15182.57841,14938.54297,31888.67983,33934.33528,38535.53268
348,418443.5365,50383.53207,47895.08606,52252.24386,52519.01739,432684.9998,459792.9664,319244.583,286178.4043,444608.1817,488081.3013,187835.0626,207256.5706,212251.3723,419728.3746,415948.2009,475820.8362
362,6138.943645,6090.090383,5115.533908,5601.641192,6556.343305,7907.565544,8175.926952,48666.99638,109975.5045,7603.59202,8641.109705,84118.62354,61449.72253,83948.31517,20802.4686,7899.31611,7657.370714
368,13210.27954,41588.80341,54631.02606,56995.14379,30887.87419,16302.71504,14952.41721,13801.0163,13676.10969,16999.50288,12962.89341,12458.23005,14844.94165,12085.49792,14463.01624,12395.13381,15530.08445
377,14801.12815,3014.748036,3009.790332,3041.286314,2994.737084,17275.97311,13463.91922,21360.24335,21354.21915,16704.98096,11932.02748,23822.86636,22427.80587,25400.38606,19504.18463,12846.25709,14406.55014
383,2443.71849,3739.917957,2262.119709,2375.105981,3132.18136,2690.070985,2321.158062,6674.96709,10988.37422,2445.665932,2237.778994,11195.76513,10103.30244,12027.52577,3159.085235,2515.699201,2181.473389
387,6163.462074,5359.807092,5053.798384,5418.649053,5104.538126,6672.558125,6885.854239,27782.41434,57075.07386,6726.447501,8875.437903,38916.4733,29038.49191,40199.38352,13415.42781,8519.878916,6969.121408
392,2533.157372,206.174874,144.427884,123.0568202,66.30804855,3812.799113,3730.802061,3564.875553,3038.839919,2925.843397,3155.859036,3786.180187,3437.165562,3457.724345,3705.501073,2670.268898,3460.927535
393,1930.109443,12100.8405,11796.04882,8148.098564,10385.76067,2211.3699,1621.209128,2501.537359,2468.674507,1735.984961,1955.815434,2453.230484,3050.500872,3188.99795,2999.858065,2456.96574,2029.907129
411,3497.600688,2471.924206,2231.478108,2250.313938,2417.902108,2712.39272,2991.808973,8829.208852,11665.03075,2566.319459,2612.38954,12254.29175,9269.878815,11739.4673,3603.566771,3268.773999,2340.656367
412,5742.987042,9783.611051,7656.00922,9753.064237,5982.68961,9922.156369,7654.446525,28682.62498,71935.90899,8276.805803,8135.056301,42185.43371,32798.11033,46933.5644,15894.63102,8221.458468,7854.55217
420,1732.263508,3819.291387,3290.988267,3352.234621,3529.265698,2197.974641,2272.388415,9815.73413,16489.5115,2314.194237,2316.879274,14889.36799,12067.30965,15789.33371,3972.798527,1979.563334,2254.376241
428,10033.47021,40903.81439,40451.23071,38808.66466,38419.94439,10542.07233,13036.59793,18374.90932,21683.55646,9160.173147,13113.16955,22105.21626,22289.97172,24508.35945,13721.3172,9259.63161,13848.50841
445,2032.062592,5045.00577,5060.491931,6037.860719,4383.658412,2495.730683,2592.062142,6610.100934,8555.110115,2660.399222,2497.551742,8881.280848,7811.760822,9204.808094,3327.911732,2266.269431,2486.840553
458,4621.75895,1911.932427,1978.917921,1882.365996,1962.148326,4125.883911,3357.763098,7368.787822,10727.38968,2846.739229,3261.957163,9510.481756,7913.424594,9643.214803,4270.865673,3608.821505,3231.456236
462,835.0270657,3093.699801,3181.5052,2507.587613,2174.346757,763.0706256,860.681847,645.0400085,800.2069681,907.1985098,896.8370542,600.5096723,652.0169831,705.4378823,802.9030379,868.3279556,868.7165595
463,903.7832383,8136.41332,453.0959271,421.5316862,1953.92275,832.6560186,878.8414983,738.5165824,767.4267288,831.0061495,810.036166,763.6577562,782.0679555,721.6581914,728.6161432,876.1679441,824.0352796
464,23045.02718,7534.867054,7208.247699,8033.359462,7091.863627,23037.72033,24869.64939,48242.99727,100178.0926,23444.11699,23158.17559,63258.37458,50588.98615,64349.43131,30128.45372,26673.56874,26085.5168
482,5587.3749,5743.001333,5856.269582,5711.120699,5928.55793,6113.476956,5895.38214,16855.36649,23115.80437,5376.438568,6017.372844,25045.03112,20157.68292,22759.15631,7255.468773,5671.841826,5779.102954
484,239310.7415,63269.71263,60131.72922,67396.19396,65037.72756,234949.6223,245558.0652,181671.4472,188735.8291,234150.152,249147.7631,133816.2611,135030.2803,144928.2933,251978.7577,231500.2866,266609.0393
490,7089.359715,6967.379605,12096.94524,8243.214903,6316.697843,6902.559271,7012.482245,30282.57522,101551.3556,6103.392082,6794.995879,57063.00531,31742.24727,61019.53249,17866.195,7382.276597,6495.985376
494,28930.14715,12360.46031,14266.96464,13570.62964,15394.10535,33162.36958,29921.54461,42042.58053,45166.26402,32242.02398,29267.47107,50240.62653,48498.62249,50306.72397,37961.55084,31883.45989,34948.21153
497,923.3341405,261.4167915,233.369464,269.4312954,307.9713353,803.938024,845.53184,2969.858658,3850.328782,1000.001836,927.1745983,4433.144474,2660.166991,5056.651134,1346.849348,1434.501719,885.5754481
498,29886.83061,2169.946361,2223.639669,2122.519896,2024.03787,34774.7112,38989.99564,108921.9288,276710.5651,32210.51485,40949.89981,160826.0313,112758.7294,183897.7848,60993.51413,40604.9538,44112.07362
503,4365.236136,2412.096418,1895.318614,1527.003622,1884.806016,6860.105875,6322.635754,10731.37083,18981.24636,6398.036644,5210.806315,13131.05086,12477.07403,14207.94027,7513.462053,3029.392431,4266.344274
504,13435.7398,6086.330991,7103.461127,5061.44978,6467.022977,12951.69039,12835.42435,11493.06391,11369.03151,13056.02636,12998.23625,11286.40467,12369.79875,11799.21741,13238.79259,12212.42784,11921.29402
513,47298.53501,15840.13063,14354.35317,15544.63062,16730.64597,38405.83866,34553.96268,65374.67869,98541.67679,32610.17394,35092.99681,89474.56474,85599.67521,93095.95804,44755.91466,39225.38221,33271.67599
